image_id,predicted_count,actual_count,count_error,fdr,fnr,f1
img229_20211011_Kaizu_OkinaSP_1000x1000,44,42,0.047619047619047616,0.06818181818181818,0.023809523809523808,0.9534883720930233
img230_20211011_Kaizu_OkinaSP_1000x1000,42,41,0.024390243902439025,0.047619047619047616,0.024390243902439025,0.963855421686747
img231_20211011_Kaizu_OkinaSP_1000x1000,49,49,0.0,0.0,0.0,1.0
img235_20211011_Sunomata_OkinaSP_1000x1000,43,41,0.04878048780487805,0.046511627906976744,0.0,0.9761904761904762
img236_20211011_Sunomata_OkinaSP_1000x1000,48,48,0.0,0.020833333333333332,0.020833333333333332,0.9791666666666666
img237_20211011_Sunomata_OkinaSP_1000x1000,48,44,0.09090909090909091,0.08333333333333333,0.0,0.9565217391304348
img238_20211011_Sunomata_OkinaSP_1000x1000,50,41,0.21951219512195122,0.18,0.0,0.9010989010989011
img239_20211011_Sunomata_OkinaSP_1000x1000,42,37,0.13513513513513514,0.11904761904761904,0.0,0.9367088607594937
img241_20211011_Sunomata_TCA422_1000x1000,50,47,0.06382978723404255,0.06,0.0,0.9690721649484536
img245_20211011_Yoro_Suiryoku_1000x1000,48,48,0.0,0.020833333333333332,0.020833333333333332,0.9791666666666666
img247_20211011_Yoro_OkinaSP_1000x1000,41,40,0.025,0.024390243902439025,0.0,0.9876543209876543
img248_20211011_Yoro_OkinaSP_1000x1000,48,49,-0.02040816326530612,0.0,0.02040816326530612,0.9896907216494846
img249_20211011_Yoro_Yumebutai_1000x1000,51,51,0.0,0.0,0.0,1.0
img250_20211011_Yoro_OkinaSP_1000x1000,42,40,0.05,0.047619047619047616,0.0,0.975609756097561
img251_20211011_Yoro_OkinaSP_1000x1000,21,21,0.0,0.0,0.0,1.0
img252_20211011_Yoro_Yumebutai_1000x1000,48,46,0.043478260869565216,0.041666666666666664,0.0,0.9787234042553191
img253_20211018_Kaizu_OkinaSP_1000x1000,30,29,0.034482758620689655,0.03333333333333333,0.0,0.9830508474576272
img255_20211018_Kaizu_OkinaSP_1000x1000,50,47,0.06382978723404255,0.06,0.0,0.9690721649484536
img256_20211018_Kaizu_OkinaSP_1000x1000,9,9,0.0,0.0,0.0,1.0
img257_20211018_Kaizu_OkinaSP_1000x1000,51,49,0.04081632653061224,0.0392156862745098,0.0,0.98
img258_20211018_Sunomata_TCA422_1000x1000,50,50,0.0,0.0,0.0,1.0
img259_20211018_Sunomata_TCA422_1000x1000,50,48,0.041666666666666664,0.04,0.0,0.9795918367346939
img260_20211018_Sunomata_OkinaSP_1000x1000,48,47,0.02127659574468085,0.020833333333333332,0.0,0.9894736842105263
img261_20211018_Sunomata_OkinaSP_1000x1000,42,42,0.0,0.023809523809523808,0.023809523809523808,0.9761904761904762
img262_20211018_Sunomata_OkinaSP_1000x1000,45,46,-0.021739130434782608,0.0,0.021739130434782608,0.989010989010989
img263_20211018_Sunomata_OkinaSP_1000x1000,44,40,0.1,0.09090909090909091,0.0,0.9523809523809523
img264_20211018_Sunomata_OkinaSP_1000x1000,48,45,0.06666666666666667,0.0625,0.0,0.967741935483871
img265_20211018_Sunomata_OkinaSP_1000x1000,50,45,0.1111111111111111,0.1,0.0,0.9473684210526315
img266_20211018_Sunomata_TCA422_1000x1000,54,49,0.10204081632653061,0.1111111111111111,0.02040816326530612,0.9320388349514563
img267_20211018_Sunomata_TCA422_1000x1000,49,48,0.020833333333333332,0.02040816326530612,0.0,0.9896907216494846
img268_20211018_Yoro_Yumebutai_1000x1000,32,31,0.03225806451612903,0.03125,0.0,0.9841269841269841
img269_20211018_Yoro_Suiryoku_1000x1000,50,48,0.041666666666666664,0.04,0.0,0.9795918367346939
img271_20211018_Yoro_OkinaSP_1000x1000,51,47,0.0851063829787234,0.0784313725490196,0.0,0.9591836734693877
img272_20211018_Yoro_Yumebutai_1000x1000,48,47,0.02127659574468085,0.020833333333333332,0.0,0.9894736842105263
img273_20211018_Yoro_Yumebutai_1000x1000,44,41,0.07317073170731707,0.06818181818181818,0.0,0.9647058823529412
img274_20211018_Yoro_Yumebutai_1000x1000,47,45,0.044444444444444446,0.0425531914893617,0.0,0.9782608695652174
img275_20211018_Yoro_Yumebutai_1000x1000,46,43,0.06976744186046512,0.06521739130434782,0.0,0.9662921348314607
img276_20211018_Yoro_Yumebutai_1000x1000,37,34,0.08823529411764706,0.08108108108108109,0.0,0.9577464788732394
img277_20211018_Yoro_Yumebutai_1000x1000,48,45,0.06666666666666667,0.0625,0.0,0.967741935483871
img278_20211027_Kaizu_OkinaSP_1000x1000,39,37,0.05405405405405406,0.07692307692307693,0.02702702702702703,0.9473684210526315
img279_20211027_Kaizu_OkinaSP_1000x1000,31,29,0.06896551724137931,0.06451612903225806,0.0,0.9666666666666667
img280_20211027_Kaizu_OkinaSP_1000x1000,41,41,0.0,0.0,0.0,1.0
img281_20211027_Kaizu_OkinaSP_1000x1000,38,35,0.08571428571428572,0.10526315789473684,0.02857142857142857,0.9315068493150684
img282_20211027_Kaizu_OkinaSP_1000x1000,19,17,0.11764705882352941,0.10526315789473684,0.0,0.9444444444444444
img283_20211027_Sunomata_TCA422_1000x1000,53,48,0.10416666666666667,0.09433962264150944,0.0,0.9504950495049505
img284_20211027_Sunomata_TCA422_1000x1000,50,50,0.0,0.04,0.04,0.96
img285_20211027_Sunomata_TCA422_1000x1000,50,46,0.08695652173913043,0.08,0.0,0.9583333333333334
img286_20211027_Sunomata_TCA422_1000x1000,51,50,0.02,0.0196078431372549,0.0,0.9900990099009901
img287_20211027_Sunomata_TCA422_1000x1000,51,48,0.0625,0.058823529411764705,0.0,0.9696969696969697
img288_20211027_Sunomata_TCA422_1000x1000,47,45,0.044444444444444446,0.0425531914893617,0.0,0.9782608695652174
img289_20211027_Sunomata_OkinaSP_1000x1000,50,46,0.08695652173913043,0.08,0.0,0.9583333333333334
img290_20211027_Sunomata_OkinaSP_1000x1000,52,47,0.10638297872340426,0.15384615384615385,0.06382978723404255,0.8888888888888888
img292_20211027_Sunomata_TCA422_1000x1000,54,53,0.018867924528301886,0.018518518518518517,0.0,0.9906542056074766
img293_20211027_Yoro_Yumebutai_1000x1000,45,45,0.0,0.0,0.0,1.0
img295_20211027_Yoro_Suiryoku_1000x1000,40,34,0.17647058823529413,0.15,0.0,0.918918918918919
img297_20211027_Yoro_Yumebutai_1000x1000,45,42,0.07142857142857142,0.06666666666666667,0.0,0.9655172413793104
img299_20211027_Yoro_Yumebutai_1000x1000,47,46,0.021739130434782608,0.0425531914893617,0.021739130434782608,0.967741935483871
img300_20211027_Yoro_OkinaSP_1000x1000,48,45,0.06666666666666667,0.0625,0.0,0.967741935483871
img301_20211027_Yoro_Yumebutai_1000x1000,29,28,0.03571428571428571,0.034482758620689655,0.0,0.9824561403508771
img306_20211109_Kaizu_OkinaSP_1000x1000,40,39,0.02564102564102564,0.05,0.02564102564102564,0.9620253164556962
img307_20211109_Kaizu_OkinaSP_1000x1000,25,25,0.0,0.0,0.0,1.0
img308_20211109_Sunomata_OkinaSP_1000x1000,49,49,0.0,0.0,0.0,1.0
img309_20211109_Sunomata_OkinaSP_1000x1000,34,33,0.030303030303030304,0.029411764705882353,0.0,0.9850746268656716
